Source.Name,x1,y1,x2,y2,x3,y3,x4,y4
202206300901571204.txt,-0.3706016,0.598388,0.781399,0.4231078,4.995215,0.723708,-2.279973,-0.2224665
202206300901579648.txt,-8.929327,7.994842,-1.423198,0.746868,0.2706218,0.4930257,0.5650538,0.5053398
202206300901584762.txt,0.4424926,0.4291546,0.7122474,0.4123745,1.979894,0.6683856,2.197161,1.987277
202206300901592366.txt,0.4281186,0.4915965,0.8409724,0.4600985,10.10663,2.343482,-0.3065627,-0.3112997
202206300901597743.txt,-0.3261375,0.6020548,0.361473,0.4165851,1.321087,0.5812426,-11.79298,-12.79054
202206300902002880.txt,3.330379,-0.04829429,-1.932199,0.6136212,0.4239144,0.4857798,1.440711,0.6381637
202206300902008546.txt,-0.1285329,0.5171875,0.365901,0.3569499,0.9707298,0.4364161,3.139463,2.51825
202206300902014511.txt,0.1867144,0.5270159,0.7043741,0.4632189,2.949236,1.085037,-0.7183177,-2.106185
202206300902019636.txt,-1.263045,1.083317,0.2757762,0.3386754,1.994457,0.4584819,-28.50713,-10.21257
202206300902025341.txt,-8.578628,2.609094,-0.5091168,0.413002,0.5911221,0.3766955,1.277266,1.049728
202206300902029873.txt,12.92684,-6.502517,-1.202454,0.002278533,0.8805114,-0.1912532,3.012392,0.6351712
202206300902035127.txt,1.234839,0.09926667,-0.7297993,0.6013695,0.4287083,0.4992359,0.7820478,0.5202515
202206300902039748.txt,-3.918318,5.941688,-0.5843022,0.1410001,0.4084018,-0.1269083,0.7814535,-0.0540724
202206300902044553.txt,0.547061,0.4909397,0.943884,0.4867595,-0.898724,0.3136874,0.2851988,0.3383481
202206300902049129.txt,3.71154,-0.8527485,-2.392473,0.5857378,0.38945,0.3026884,1.478966,0.5390804
202206300902054380.txt,0.6894376,0.1845116,3.503799,-0.0973582,0.197604,0.4630172,0.5762591,0.4796173
202206300902059736.txt,-2.035977,1.094546,-0.1068393,0.430002,0.9236929,0.4379402,2.306936,1.238996
202206300902065552.txt,-0.4352271,0.5027143,0.2738521,0.3906569,1.024653,0.4262678,2.841172,1.187434
202206300902070878.txt,-0.761314,0.6539354,0.3015618,0.4749754,0.8709988,0.4981792,-1.659357,-0.2503609
202206300902075835.txt,0.2289107,0.4907312,0.5319929,0.4533555,1.311488,0.6273547,-0.1353871,-1.258279
202206300902081308.txt,0.112774,1.389976,0.09841526,0.5171621,0.6964124,0.4239435,1.219869,0.5382379
202206300902085577.txt,0.1138013,0.3419161,1.619843,0.1487466,-5.389871,-0.7776495,-0.3764832,-0.3876865
202206300902091233.txt,-0.3567318,0.4641167,0.4122668,0.42059,1.745199,0.4960772,-1.680945,-0.5015529
202206300902096429.txt,-56.19749,73.79911,-0.6884682,0.5907795,1.107583,0.3506666,3.072199,0.875734
202206300902101486.txt,-0.2341285,0.7134946,0.6807829,0.3973532,3.194227,0.5750909,-4.864912,-0.8067884
202206300902106568.txt,0.09258291,0.5350263,0.5022421,0.4815929,1.313775,0.6003985,2.50256,2.342094
202206300902112093.txt,-0.4482305,0.5635053,0.4377533,0.2327849,1.83649,0.4530239,-1.364463,-1.001063
202206300902117833.txt,-0.5818498,0.9538753,0.3322576,0.4249804,1.039251,0.468319,24.06142,11.1399
202206300902122518.txt,0.4805316,0.40551,1.395033,0.378994,-5.251594,-1.179072,0.008221924,-0.7156221
202206300902127056.txt,1.302921,-0.2725667,-2.600606,0.9686385,0.2792076,0.4764357,0.5742149,0.4929602
202206300902131955.txt,-1.399542,1.062132,0.3160895,0.4762264,1.845873,0.5343359,-9.047047,-1.512782
202206300902136975.txt,-4.865005,2.471359,-0.3679655,0.09085117,0.8009871,0.01135163,1.910604,0.4803718
202206300902142718.txt,0.3363667,0.3528983,0.6545822,0.3171139,1.733151,0.5460083,3.558115,3.381627
202206300902147915.txt,0.3382107,0.3596587,0.6368486,0.324278,2.188761,0.659177,-0.2292228,-0.499603
202206300902153670.txt,-0.2071931,0.5110482,0.4001771,0.4865924,1.349425,0.5319183,1.886648,1.363576
202206300902159053.txt,-4.665701,0.8856729,-0.3810434,0.4768396,0.7514838,0.4777175,1.997521,0.9169458
202206300902164342.txt,-9.996767,5.841524,0.2105784,0.5076019,0.7048371,0.4871986,1.337406,0.5422786
202206300902169287.txt,1.111523,0.0199776,-16.30961,3.425443,0.2243631,0.4093243,0.6146509,0.4836538
202206300902174596.txt,1.537006,0.1626179,-0.6056335,0.4970969,0.5011551,0.4223567,1.302483,0.653644
202206300902180366.txt,0.04477203,0.4975081,0.4987656,0.3970427,1.417306,0.5508745,14.77843,11.47557
202206300902186160.txt,-2.250373,3.632503,-0.6436883,0.607466,0.5458667,0.415508,1.20606,0.5147214
202206300902190422.txt,1.684697,-1.279071,9.955098,-2.978895,-0.5435146,0.03609585,0.5352803,0.2934758
202206300902196297.txt,-0.2258886,0.5442004,0.3207696,0.3696749,0.9098012,0.4197489,2.123364,1.357318
202206300902202145.txt,9.367089,-1.888941,-0.4831459,0.4724977,0.7204571,0.415246,1.817432,0.5800865
202206300902207899.txt,-4.706073,1.464754,-0.2628899,0.4876073,0.8619466,0.4604817,2.154267,0.6598262
202206300902213465.txt,7.196253,-0.9159826,-1.205637,0.5031478,0.3973394,0.4087787,1.019686,0.6759964
202206300902217793.txt,1.208201,-0.8337868,21.34555,-5.997525,0.08218074,-0.1110844,0.6412239,0.03841078
202206300902223135.txt,-2.240054,0.4397412,-0.2340149,0.1719148,0.9125509,0.1910371,1.97771,0.7590077
202206300902228603.txt,0.4612255,0.4832516,0.8139309,0.459196,-4.611808,-0.302809,0.107394,0.2109996
202206300902234009.txt,0.07281283,0.5897601,0.6727629,0.4581743,4.586206,0.8280086,-0.2598224,0.2255293
202206300902239409.txt,-2.299363,0.7148825,-0.1262372,0.4334924,0.862909,0.4749638,9.650949,10.61366
202206300902245384.txt,-0.03216267,0.4814966,0.7201638,0.3917448,3.299,0.7085424,-2.79348,-1.230839
202206300902250659.txt,-0.04260606,0.6960758,0.5360119,0.4589778,1.769258,0.6105123,-0.3180882,0.1128338
202206300902256015.txt,5.923375,-10.70616,-3.861301,1.511696,0.05234293,0.4489904,0.8898765,0.5284135
202206300902260961.txt,4.782933,-1.480866,-2.348923,0.5898821,0.2968627,0.2664519,1.152189,0.454406
202206300902266900.txt,1.009256,0.2468571,-0.6464211,0.5461432,0.4995678,0.4471515,0.9795102,0.503186
202206300902272539.txt,-0.6333017,0.5284008,0.207568,0.4660897,0.941485,0.4842784,2.486848,0.9431952
202206300902277429.txt,0.5075524,0.4412138,1.081194,0.4295154,-0.5882896,-0.0689999,0.4181961,-0.03894303
202206300902282737.txt,-0.1623729,0.9558598,0.03035191,0.4267762,0.556537,0.3631604,0.8895247,0.4094074
202206300902287574.txt,1.828533,-0.2554129,-0.4973969,0.6150684,0.499449,0.4681956,1.127666,0.8675347
202206300902292696.txt,0.4613299,0.4412667,0.7484143,0.4258729,2.866148,0.8130925,-3.59655,-2.960134
202206300902298055.txt,0.3058461,1.136788,0.3379036,0.4615399,1.023857,0.427491,2.225801,0.6747617
202206300902303663.txt,0.06711161,0.5584294,0.5177255,0.4372625,1.492124,0.5432633,-1.8339,-0.4869225
202206300902308775.txt,0.3150103,0.5026625,1.146412,0.4098236,-35.00809,-10.83043,-0.343744,-1.098061
202206300902313507.txt,1.907372,-0.9324838,-103.1605,14.99899,-0.4179434,0.4048959,0.6957961,0.4443325
202206300902318947.txt,-1.598501,1.074036,0.2068914,0.4408223,1.32587,0.44032,6.320761,1.048513
202206300902323801.txt,-21.03323,8.547526,-0.3160394,0.3932216,1.794178,0.4077312,-1031.067,-291.7511
202206300902329177.txt,-2.335139,0.9155976,0.02888834,0.4804699,0.5695425,0.4881404,0.9060971,1.329214
202206300902333967.txt,4.382578,-3.600098,-0.4216347,0.6214463,0.4391202,0.4770778,0.7577044,0.5125704
202206300902338186.txt,0.5704849,0.4960932,1.301796,0.492663,-3.111372,0.1108612,0.06855687,0.1599068
202206300902341915.txt,1.612002,-5.415408,31.77129,-16.20396,-0.6426318,-1.064118,0.6665421,-0.9507096
202206300902348061.txt,-0.4823976,0.2531506,0.2872506,0.131534,1.291086,0.2824728,1.466684,2.340011
202206300902353023.txt,0.3796174,0.383607,0.9720802,0.2908395,-2.19313,-0.0161403,0.06603181,0.12548
202206300902358898.txt,0.3231672,0.4908817,0.7264075,0.4736844,17.41221,2.532658,0.2561664,0.1926345
202206300902364190.txt,0.07856211,0.2857914,0.5569333,0.09090553,1.789037,0.3300441,-1.438529,-1.225499
202206300902368734.txt,0.5655991,0.0655517,1.643178,0.06288899,-0.8556865,-0.2269392,0.4006779,-0.2234893
202206300902374145.txt,1.423584,-0.4822263,52.2469,-9.892667,0.07629907,0.468503,0.4760814,0.4810623
202206300902379281.txt,3.546907,-1.005472,-2.296138,0.7664199,0.3318685,0.3970682,1.214737,0.6931504
202206300902384756.txt,0.1016895,2.528657,0.08470079,0.5492336,0.6261866,0.4480066,1.061055,0.5256006
202206300902390279.txt,-0.8785037,0.5348751,0.1155772,0.4657921,1.095883,0.5111068,1.319249,1.227623
202206300902394921.txt,1.694378,-1.285062,13.9507,-3.539595,-0.3811199,0.4435234,0.4451372,0.486347
202206300902400049.txt,67.68472,-18.77707,-0.09325421,0.5086858,0.6030733,0.4732604,1.254363,0.7412299
202206300902405723.txt,8.062246,-3.504126,-0.3532826,0.5561186,0.6119034,0.477829,1.253549,0.547632
202206300902410753.txt,0.6811122,-0.1049153,5.636752,-0.5061008,-0.02077711,0.4673626,0.5823095,0.4801916
202206300902416125.txt,-4.472394,1.409321,-0.1262894,0.4089354,0.497659,0.3996398,0.6173279,0.982814
202206300902421199.txt,0.4965934,0.4391772,0.9177238,0.4364514,-3.919223,-1.274183,0.4094912,-1.0362
202206300902426457.txt,3.099141,-0.8938905,-3.243303,0.8481429,0.1606575,0.4386293,0.876839,0.4972297
202206300902431958.txt,-0.6852696,0.6131213,0.2657128,0.4021754,1.509318,0.503975,6.374589,3.104137
202206300902436030.txt,-1.19773,-1.398763,0.4028561,-2.365823,3.392126,-1.271802,8.842769,11.4314
202206300902442096.txt,-0.1778061,0.6502446,0.4898179,0.4673015,1.776123,0.6231219,-1.45298,-0.4573884
202206300902446839.txt,0.9484019,0.05550808,-2.282727,0.9333609,0.3389671,0.4831562,0.6393821,0.5083302
202206300902452115.txt,-0.7154313,1.478167,0.03934184,0.3904323,0.568143,0.3012648,0.9118097,0.3992341
202206300902457676.txt,2.854509,-1.893719,-1.700821,0.7160815,0.2969433,0.4867428,0.8253826,0.5117584
202206300902463008.txt,-0.1013861,0.7453302,0.5576179,0.472391,1.963733,0.5848599,-1.916281,-0.186201
202206300902467835.txt,1.218442,-3.161131,73.0023,-24.40871,-0.4225496,0.4316184,0.6519607,0.4767686
202206300902473191.txt,-0.8520375,0.609302,0.251956,0.481419,0.8848705,0.4974313,-10.26507,-2.049551
202206300902478972.txt,8.19426,-9.364394,-0.6379735,0.6955423,0.4796011,0.4439907,0.9899107,0.5504764
202206300902483767.txt,-0.7234263,0.6154805,0.5016607,0.4881799,2.849851,0.5874962,-1.424428,0.1802309
202206300902488664.txt,-0.3405008,1.088528,0.4819399,0.1639725,2.486037,0.2358132,19.69803,4.162718
202206300902493512.txt,0.3380812,0.5036701,0.6190911,0.4586323,1.944721,0.779798,-0.2883819,-0.4243955
202206300902498139.txt,0.4535598,0.4155555,1.238863,0.4028354,-2.975235,-0.3489608,0.3141798,-0.1988314
202206300902503161.txt,0.3108143,0.3518689,0.738844,0.3332889,2.682769,0.5255781,-3.675284,-1.85243
202206300902508504.txt,0.1365051,0.2868403,0.8793679,0.2081419,23.03735,5.468801,-0.03925526,-0.6983799
202206300902514301.txt,2.09815,-0.1078162,-0.2030632,0.4999835,0.6356024,0.4471525,1.399829,0.5566345
202206300902519833.txt,1.812257,-0.3919578,-1.050031,0.5962291,0.4265566,0.3461444,0.9704385,0.6061602
202206300902525109.txt,-0.8093479,0.6947665,-0.0996666,0.2199122,0.9279134,0.1845166,1.984281,0.2753539
202206300902530540.txt,-1.684332,1.272219,0.1371837,0.2867545,1.213452,0.3411793,12.10682,6.299538
202206300902536424.txt,-0.0348798,0.5177056,0.7551289,0.4674443,3.198769,0.7716447,106.9896,90.82461
202206300902542125.txt,-0.5278685,0.4625823,0.2064263,0.3673235,1.010164,0.4295662,1.114243,1.031908
202206300902547483.txt,0.6172275,0.1322002,3.632249,0.04694734,0.06768462,0.449874,0.515853,0.4525476
202206300902551941.txt,1.764869,-1.576229,327.6732,-93.05385,-0.1817646,0.3488141,0.5253404,0.3939184
202206300902560266.txt,17.35755,-5.704318,-0.067114,0.5052933,0.72614,0.4640352,1.602466,0.5977251
202206300902565353.txt,-3.820124,1.59284,-0.03364193,0.3406474,1.587194,0.4282476,-6.748027,-2.974638
202206300902570150.txt,0.5616423,0.4687688,1.066807,0.4654951,-2.596169,-0.7756454,0.1329688,-0.6915837
202206300902575072.txt,-0.6098044,0.5405712,0.3594701,0.2599691,1.755909,0.3205448,25.77658,5.521201
202206300902579935.txt,0.5511302,0.4978014,1.01637,0.4890287,-0.6129979,0.3540852,0.3020758,0.3731817
202206300902585212.txt,-1.224444,0.4903614,-0.02514052,0.3376429,1.048465,0.4079468,1.148067,1.295861
202206300902590299.txt,0.9570837,0.1513616,5.580786,-0.3846509,0.1153879,0.4630726,0.5469621,0.4993682
202206300902594618.txt,36.53219,-6.389361,-1.893679,0.470351,0.477739,0.4016072,1.841102,2.571695
202206300903000298.txt,-0.1337312,2.912657,0.4147067,0.433872,0.9736704,0.4146323,3.357189,0.9795551
202206300903005719.txt,1.639495,-0.5573214,-1.55829,0.7091891,0.3729945,0.4895149,0.9643726,0.5270178
202206300903010457.txt,1.715783,-0.1765661,-2.080328,0.7280378,0.2726966,0.4629245,0.5852598,0.4770636
202206300903015599.txt,2159.285,-668.0667,-0.5963816,0.4134772,0.4941109,0.3387109,1.011674,0.8971351
202206300903021023.txt,1.508719,0.08114443,-0.5353011,0.5756933,0.524143,0.4857168,1.064439,0.5513722
202206300903026619.txt,-0.1327931,0.5284991,0.610278,0.4331787,3.380943,0.9165721,-0.2636951,-0.3977692
202206300903031889.txt,19.60515,-6.918525,-0.9963768,0.3294087,0.5483469,0.1911601,1.472079,0.768065
202206300903037203.txt,-7.89942,2.176167,-0.5429231,0.2697035,0.6140565,0.2647056,1.406953,1.883406
202206300903043156.txt,-0.8285592,0.9319707,0.2681579,0.279264,0.8762766,0.2855107,2.891377,1.155058
202206300903047699.txt,0.9856129,-0.1772881,3.921829,-0.3934513,-0.05187792,0.1810533,0.4607604,0.2010737
202206300903051930.txt,-1.423568,0.7821552,0.5744774,0.2096495,3.936549,0.3757542,-4.456427,-0.6691415
202206300903056775.txt,4.955766,-0.4615445,-2.435678,0.1329429,0.2865247,0.04230075,1.404708,0.5310277
202206300903062724.txt,-0.7923048,0.5074266,0.1658041,0.464105,1.106602,0.5048205,1.148768,7.368676
202206300903068380.txt,-0.4106217,0.6992301,0.3467205,0.3632975,1.098937,0.3960225,7.695303,2.52175
202206300903073854.txt,-0.1844415,0.2180432,0.7150389,0.05256867,3.522456,0.7796187,-3.298196,-5.240802
202206300903079259.txt,-1.264664,2.499593,-1.098964,0.7777731,0.2750292,0.4783078,0.6185538,0.5042861
202206300903084098.txt,0.3742021,0.4810396,0.7854633,0.4617629,11.93019,2.907652,0.2314425,-0.3484887
202206300903088915.txt,-1.474302,0.945766,0.2032407,0.1563933,1.840289,0.2645074,-157.5995,-61.54194
202206300903094360.txt,0.3407421,0.4808434,0.7835754,0.4070532,11.15165,2.486611,-0.1610905,-0.1004841
202206300903099799.txt,-1.069362,0.8425451,0.156204,0.3352085,1.089304,0.3460011,3.373477,1.075125
202206300903105823.txt,0.1185872,1.026122,0.1478076,0.4656799,0.6351558,0.4069996,1.035535,0.4701957
202206300903111010.txt,1.796092,-0.2299463,-0.5194777,0.5745666,0.4166765,0.4594207,0.6896866,0.4875201
202206300903116694.txt,-0.01035488,0.4072747,0.6542067,0.3085837,2.304741,0.6978166,3.193603,4.134803
202206300903121996.txt,-0.2113163,0.5405819,0.3564641,0.4820327,1.046504,0.5202422,17.35378,6.789884
202206300903128137.txt,-8.718403,4.196242,-0.3186769,0.5058631,0.8371093,0.4440426,2.225874,0.954598
202206300903133477.txt,-2.764956,1.826882,0.1406061,0.5024519,0.6079427,0.4775431,1.000091,0.5128586
202206300903139282.txt,-0.108906,0.8207096,0.4591637,0.4028622,1.261422,0.4434586,-19.50513,-4.861774
202206300903145300.txt,-3.400901,1.95027,0.09451726,0.4333429,0.5978271,0.3975348,1.005308,0.4865878
202206300903150731.txt,-0.196143,0.544158,0.8045396,0.4694649,4.448655,0.6974225,-3.205137,-0.3731613
202206300903155908.txt,2.326391,-2.262271,-0.2989842,0.6367124,0.513688,0.456266,0.9190502,0.5388591
202206300903161195.txt,0.2594394,0.4991692,0.6457699,0.4682401,2.509432,0.8314453,0.005062073,-0.4742082
202206300903166362.txt,0.4322913,0.4048106,0.6740255,0.398428,1.72614,0.489607,1.702384,0.9449931
202206300903171800.txt,-0.7588791,0.718875,0.242428,0.4555845,0.9435663,0.4602923,2.865298,0.837855
202206300903176884.txt,3.51777,-1.04988,-2.05094,0.5518004,0.2592438,0.2183099,0.8471102,0.7006732
202206300903181576.txt,-0.4010064,0.6436991,0.6291948,-0.1098388,2.844274,-0.008340793,-6.268744,-1.291402
202206300903187310.txt,0.9059684,-0.9716519,-13.41291,2.102188,-0.009612083,0.372967,0.6534979,0.3847761
202206300903193163.txt,0.2269996,0.7528165,0.4978834,0.3728093,1.175426,0.4082142,6.676175,2.11767
202206300903198967.txt,-2.062546,1.796956,-0.9248153,0.5631547,0.3550361,0.486807,0.776859,0.4977242
202206300903202917.txt,0.9500639,0.1827109,3.277692,0.1083573,-0.2389697,0.4271848,0.4320413,0.4400052
202206300903207748.txt,0.2590178,0.5090767,0.5767251,0.486143,1.650148,0.5336855,-0.5280763,0.3300009
202206300903212151.txt,-5.990613,2.214604,-0.5869822,0.2137793,1.057453,0.2144763,3.842265,2.239593
202206300903218214.txt,-4.131596,1.081279,-0.1761509,0.4443522,1.116141,0.466725,20.6401,6.498306
202206300903223636.txt,9.190925,-4.002703,-0.5358757,0.5716194,0.5332109,0.4873835,1.100046,0.5312555
202206300903228653.txt,69.48703,-54.34793,0.08853194,0.5153559,0.583112,0.4834769,0.9443645,0.507058
202206300903233570.txt,8.713699,-3.407291,-0.5772119,0.5587251,0.4440649,0.4912534,0.8552393,0.5091218
202206300903237942.txt,0.5820784,0.3626631,1.726289,0.3583709,-46.14458,-6.532135,-2.131338,-3.484748
202206300903243048.txt,-1.364586,0.6421062,0.1287658,0.2201443,1.513554,0.3442309,-32.52175,-19.51787
202206300903248476.txt,0.3363817,0.4989229,0.8467796,0.3980539,32.22083,5.085921,-0.2594407,0.0170869
202206300903253575.txt,-6.584155,13.89888,-0.5573795,0.7143966,0.4999809,0.4653892,1.02413,0.5599566
202206300903258232.txt,0.3741262,0.4732937,1.174107,0.4433394,-2.26489,0.03565742,0.2044947,0.1569271
202206300903263251.txt,-8.105266,5.710353,-0.09675891,0.3740476,1.647789,0.3315769,6.980428,1.182568
202206300903268447.txt,-0.276239,0.7108207,0.3288926,0.4770251,0.7914236,0.4801873,1.876058,0.776947
202206300903273870.txt,-0.6641257,0.585507,0.313386,0.482441,0.9164521,0.5015594,-1.051408,0.1170838
202206300903279160.txt,0.2365792,0.5989253,0.5505194,0.4341439,1.342339,0.491592,-1.915972,-0.152562
202206300903284560.txt,-0.8336107,0.6277061,0.2259369,0.3509291,1.471506,0.4441845,7.702277,3.517682
202206300903289956.txt,-0.5782664,0.445633,0.290348,0.3569314,1.314526,0.4319762,-1.711226,-1.00885
202206300903295067.txt,7.932362,-14.40441,-0.3557478,0.6264008,0.4821757,0.4608166,0.8635296,0.5089616
202206300903300341.txt,-4.388809,2.099139,-0.09479356,0.3965847,0.6923019,0.3827005,1.787795,1.39612
202206300903305209.txt,0.9852703,-0.115336,9.717821,-1.47807,0.19616,0.2289351,0.8182333,0.3621066
202206300903310791.txt,0.417292,0.358324,0.6902368,0.342556,2.091951,0.6449411,4.038377,5.49064
202206300903316005.txt,12.70789,-2.753556,-0.5746562,0.4744293,0.8801942,0.4198535,3.032752,0.8926464
202206300903321201.txt,2.660346,-1.393416,-0.401645,0.1332141,0.6081881,0.002347141,1.344198,0.2002065
202206300903325946.txt,0.4965495,0.4662376,1.468836,0.4277445,-11.71476,-0.9906989,-0.6688279,-0.1485555
202206300903333373.txt,1.017941,-0.2210827,-0.3728625,0.626338,0.5099864,0.441799,0.907739,0.5226269
202206300903338688.txt,0.1667377,0.4847067,0.8910396,0.4533696,5.487885,1.075232,-0.6942596,-1.082543
202206300903343396.txt,0.489336,0.3678947,1.104486,0.1953652,-5.528852,-1.306178,-0.2429213,-0.3989427
202206300903348686.txt,1.768815,-0.4836075,-5.560134,1.358416,0.1316732,0.3721498,0.7581998,0.4543275
202206300903353405.txt,-1.696843,1.105564,0.493748,0.5046883,2.451086,0.5606735,-2.767631,0.1185997
202206300903359212.txt,0.8865762,-0.2595224,-3.452539,0.9239358,0.2466654,0.4559935,0.7451952,0.4745946
202206300903364706.txt,6.511513,-0.6171165,-0.5473239,0.5251787,0.4588031,0.4762113,0.9068156,0.7003675
202206300903370062.txt,-1.041993,0.2825559,0.1242229,0.1759215,0.8638707,0.1934935,2.844872,0.9173055
202206300903375767.txt,-0.3006458,0.5768672,0.3410993,0.4384367,0.8918768,0.4668674,18.34393,6.852704
202206300903381036.txt,0.2251755,0.6334157,0.586605,0.4515475,1.802285,0.6654001,-0.5325892,-0.1182954
202206300903386272.txt,2.388514,-0.5175309,-2.019598,0.6869888,0.6228068,0.4335207,2.10207,0.624019
202206300903391446.txt,0.4595329,0.4992236,0.8628934,0.4525041,-2.66175,-0.2303327,0.1309724,0.134463
202206300903396184.txt,-0.4931993,-0.08194207,0.3651772,-0.2611496,1.720417,0.09395792,2.328524,7.067257
202206300903402191.txt,-2.352192,0.6815094,-0.1327568,0.04821529,0.7046205,0.09094368,1.462451,2.318299
202206300903408248.txt,1.382079,-0.2356195,-4.3502,1.34569,0.2647511,0.4398786,0.8796898,0.5639266
202206300903413309.txt,0.2930486,0.3473216,0.6469861,0.323225,2.550792,0.6327799,0.01560229,-0.3377576
